Channel ID,Channel URL,Channel title
UCK-0srt5hdY5m6Zos_NlJZg,http://www.youtube.com/channel/UCK-0srt5hdY5m6Zos_NlJZg,The Secrets of the Universe
UCK7HWaUqEVS3inwA2RG6Z8Q,http://www.youtube.com/channel/UCK7HWaUqEVS3inwA2RG6Z8Q,Infinite Desk
UCKaYxkHrmsQePZFpzF9b7sQ,http://www.youtube.com/channel/UCKaYxkHrmsQePZFpzF9b7sQ,Mr. P Solver
UCLGqiTAyxrDsnZnR6CiJW3g,http://www.youtube.com/channel/UCLGqiTAyxrDsnZnR6CiJW3g,How Science Actually Works
UCLPG8vjrPkKorrvN-GCigfw,http://www.youtube.com/channel/UCLPG8vjrPkKorrvN-GCigfw,Dekosophy
UCLvnJL8htRR1T9cbSccaoVw,http://www.youtube.com/channel/UCLvnJL8htRR1T9cbSccaoVw,Aswath Damodaran
UCNCTxLZ3EKKry-oWgLlsYsw,http://www.youtube.com/channel/UCNCTxLZ3EKKry-oWgLlsYsw,Man of Recaps
UCNEe-HrdeW0dKdaYVq-YxYQ,http://www.youtube.com/channel/UCNEe-HrdeW0dKdaYVq-YxYQ,SHIBADITYA MUKHERJEE
UCP4R4OAJXEwnNOE28P8ophw,http://www.youtube.com/channel/UCP4R4OAJXEwnNOE28P8ophw,Nuclear Vault
UCPW_cNzrDSf0xejLOKvV7Cg,http://www.youtube.com/channel/UCPW_cNzrDSf0xejLOKvV7Cg,pi
UCQBJ3krR_RiEL8lawV8CM7g,http://www.youtube.com/channel/UCQBJ3krR_RiEL8lawV8CM7g,Mathematics Visualised
UCQxsahIsaO7_nDwVlFRMQiA,http://www.youtube.com/channel/UCQxsahIsaO7_nDwVlFRMQiA,Ludovico Einaudi
UCR1IuLEqb6UEA_zQ81kwXfg,http://www.youtube.com/channel/UCR1IuLEqb6UEA_zQ81kwXfg,Real Engineering
UCS1abmNrZSkWM1vq-sMm63g,http://www.youtube.com/channel/UCS1abmNrZSkWM1vq-sMm63g,Gareeb Scientist
UCSJPHFqzIqfde7C81TiF08g,http://www.youtube.com/channel/UCSJPHFqzIqfde7C81TiF08g,Penterest
UCSzITlgppFAIRbQGIwcInCA,http://www.youtube.com/channel/UCSzITlgppFAIRbQGIwcInCA,Great Books Explained
UCTpmmkp1E4nmZqWPS-dl5bg,http://www.youtube.com/channel/UCTpmmkp1E4nmZqWPS-dl5bg,Quanta Magazine
UCUEgJIixzlG53ybR9tZufxw,http://www.youtube.com/channel/UCUEgJIixzlG53ybR9tZufxw,kavan
UCVDFeNmTMKo1UAirnsN8gIQ,http://www.youtube.com/channel/UCVDFeNmTMKo1UAirnsN8gIQ,Chawm Ganguly
UCVOTBwF0vnSxMRIbfSE_K_g,http://www.youtube.com/channel/UCVOTBwF0vnSxMRIbfSE_K_g,Labour Law Advisor
UCVeW9qkBjo3zosnqUbG7CFw,http://www.youtube.com/channel/UCVeW9qkBjo3zosnqUbG7CFw,John Hammond
UCVls1GmFKf6WlTraIb_IaJg,http://www.youtube.com/channel/UCVls1GmFKf6WlTraIb_IaJg,DistroTube
UCW6xlqxSY3gGur4PkGPEUeA,http://www.youtube.com/channel/UCW6xlqxSY3gGur4PkGPEUeA,Seytonic
